guava,mongo-java-driver,commons-lang,hamcrest-all,junit,mockito-core,fest-assert,mongolink,mongolink-testtools,fongo,logback-classic,joda-time,joda-money,cglib,Dependency changed,isBuild?,passedTS?,Number of executed test,Number of fail test,Number of error test,Number of skip test,Execution Time
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1909999999999994
18.0,2.13.0,1.0.1,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.2129999999999994
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.165
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.1529999999999998
18.0,2.13.0,1.0.1,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.18
18.0,2.13.0,2.4,1.3,4.11,4.3.0,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.1569999999999998
18.0,2.13.0,1.0.1,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.1689999999999998
18.0,3.11.3,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.194
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1480000000000001
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.1429999999999998
18.0,2.13.0,1.0,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.1999999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.7,cglib,True,True,95,0,0,6,1.2379999999999995
18.0,2.13.0,1.0.1,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.1169999999999998
18.0,2.13.0,1.0,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.1569999999999998
18.0,3.11.3,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.1449999999999996
18.0,2.13.0,2.4,1.3,4.11,3.11.0,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.1969999999999996
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.7,cglib,True,True,95,0,0,6,1.2019999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.6,cglib,True,True,95,0,0,6,1.1749999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1899999999999995
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.131
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1449999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.194
18.0,2.13.0,2.4,1.3,4.11,3.10.0,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.1989999999999998
18.0,3.12.2,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.1369999999999998
18.0,2.13.0,2.4,1.3,4.11,4.1.0,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.3579999999999994
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.168
18.0,2.13.0,2.4,1.3,4.11,4.4.0,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.2009999999999998
18.0,3.12.10,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.161
18.0,2.13.0,1.0,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.1729999999999996
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.6,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.156
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.5,cglib,True,True,95,0,0,6,1.1849999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.2109999999999996
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.3,cglib,True,True,95,0,0,6,1.21
18.0,2.13.0,2.4,1.3,4.11,4.5.0,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.1729999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0.1,2.2,joda-money,True,True,95,0,0,6,1.1689999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.13,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.163
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.5,cglib,True,True,95,0,0,6,1.1769999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.13,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.1669999999999998
18.0,3.12.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.1769999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1449999999999998
18.0,2.13.0,2.4,1.3,4.11,3.12.1,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.1809999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.2,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.1799999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.1729999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.0,cglib,True,True,95,0,0,6,1.2259999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1640000000000001
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1719999999999997
18.0,2.13.0,1.0,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.1469999999999996
18.0,2.13.0,2.4,1.3,4.11,3.9.0,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.178
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1499999999999997
18.0,3.12.8,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.1629999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0.1,2.2,joda-money,True,True,95,0,0,6,1.1559999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.201
18.0,2.13.0,2.4,1.3,4.11,4.3.1,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.1519999999999995
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.182
18.0,3.12.11,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.1379999999999995
18.0,3.12.11,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.2019999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.1929999999999998
18.0,3.12.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.1729999999999998
18.0,2.13.0,1.0,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.1549999999999996
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.9,cglib,True,True,95,0,0,6,1.2019999999999995
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.4,cglib,True,True,95,0,0,6,1.1899999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1629999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.179
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1699999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.6,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.1179999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1419999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.2,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.167
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.10,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.1579999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.1559999999999997
18.0,2.13.0,2.4,1.3,4.11,3.11.2,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mockito-core,True,True,95,0,0,6,1.1409999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.13,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.2709999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.1309999999999998
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.1.0,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.1709999999999996
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,nc,True,True,95,0,0,6,1.176
18.0,2.13.0,1.0,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,commons-lang,True,False,99,0,59,6,1.134
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,3.2.2,cglib,True,True,95,0,0,6,1.1969999999999996
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.1219999999999999
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,1.0,2.2,joda-money,True,True,95,0,0,6,1.1639999999999997
18.0,2.13.0,2.4,1.3,4.11,1.9.5,1.4,-1,-1,2.0.11,1.0.9,2.7,0.10.0,2.2,fongo,True,True,95,0,0,6,1.189
18.0,3.12.10,2.4,1.3,4.11,1.9.5,1.4,-1,-1,1.6.0,1.0.9,2.7,0.10.0,2.2,mongo-java-driver,True,True,95,0,0,6,1.1439999999999997
